team_name,Player_name,NATIONALITY,Mat,Inns,Runs,Overs,SR,St,Wkts,4,5,Season,Mdns,Econ,Ave,dream_11_points,consistency
RR,MustafizurRahman,INT,7.0,7.0,,27.3,,0.0,7.0,0.0,0.0,New_season,0.0,8.36,,197.0,28.142857142857142
DC,SDhawan,IND,49.0,0.0,,0.0,,0.0,0.0,0.0,0.0,New_season,0.0,0.0,,194.0,inf
RR,SGopal,IND,6.0,6.0,154.0,19.1,27.0,0.0,7.0,0.0,0.0,older_season,0.0,24.68,41.83,183.0,30.5
KXIP,MAshwin,IND,10.0,10.0,241.0,28.3,24.4,0.0,7.0,0.0,0.0,older_season,0.0,8.45,34.42,175.0,17.5
DC,SSIyer,IND,47.0,0.0,,0.0,,0.0,0.0,0.0,0.0,New_season,0.0,0.0,,170.0,inf
KXIP,KLRahul,IND,39.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,168.0,inf
CSK,MJSantner,INT,6.0,6.0,,21.0,,0.0,6.0,0.0,0.0,New_season,0.0,14.280000000000001,,168.0,28.0
MI,RGSharma,IND,41.0,0.0,,0.0,,0.0,0.0,0.0,0.0,New_season,0.0,0.0,,162.0,inf
SRH,BasilThampi,IND,8.0,8.0,,26.1,,0.0,6.0,0.0,0.0,New_season,0.0,31.87,,158.0,19.75
KKR,KLNagarkoti,IND,10.0,9.0,,26.0,,0.0,5.0,0.0,0.0,New_season,0.0,8.88,,157.0,17.444444444444443
KKR,ShubmanGill,IND,41.0,0.0,,0.0,,0.0,0.0,0.0,0.0,New_season,0.0,0.0,,154.0,inf
RR,RTewatia,IND,7.0,7.0,139.0,21.0,63.0,0.0,6.0,0.0,0.0,older_season,0.0,22.32,76.83,154.0,22.0
KXIP,DJHooda,IND,27.0,5.0,,6.0,,0.0,1.0,0.0,0.0,New_season,0.0,27.5,,151.0,30.2
DC,KRabada,INT,6.0,6.0,188.0,21.2,21.3,0.0,6.0,0.0,0.0,older_season,0.0,8.81,31.33,150.0,25.0
RCB,VKohli,IND,43.0,0.0,,0.0,,0.0,0.0,0.0,0.0,New_season,0.0,0.0,,146.0,inf
CSK,SKRaina,IND,32.0,1.0,,1.0,,0.0,0.0,0.0,0.0,New_season,0.0,6.0,,142.0,142.0
MI,NMCoulter-Nile,INT,7.0,7.0,,26.0,,0.0,5.0,0.0,0.0,New_season,0.0,7.92,,141.0,20.142857142857142
KXIP,MAAgarwal,IND,35.0,0.0,,0.0,,0.0,0.0,0.0,0.0,New_season,0.0,0.0,,138.0,inf
MI,IshanKishan,IND,35.0,0.0,,0.0,,2.0,0.0,0.0,0.0,New_season,0.0,0.0,,138.0,inf
MI,AFMilne,INT,5.0,5.0,177.0,18.0,0.0,0.0,4.0,0.0,0.0,older_season,0.0,20.32,87.66,138.0,27.6
DC,RRPant,IND,24.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,136.0,inf
RR,MVohra,IND,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,134.0,inf
SRH,WPSaha,IND,20.0,0.0,,0.0,,3.0,0.0,0.0,0.0,New_season,0.0,0.0,,134.0,inf
KKR,BCJCutting,INT,12.0,8.0,,19.0,,0.0,3.0,0.0,0.0,New_season,0.0,23.380000000000003,,131.0,16.375
RR,SDube,IND,15.0,7.0,,10.4,,0.0,4.0,0.0,0.0,New_season,0.0,12.91,,130.0,18.571428571428573
KKR,KKNair,IND,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,126.0,inf
DC,AveshKhan,IND,8.0,8.0,,26.0,,0.0,4.0,0.0,0.0,New_season,0.0,31.23,,126.0,15.75
SRH,KSWilliamson,INT,38.0,1.0,,2.0,,0.0,0.0,0.0,0.0,New_season,0.0,12.0,,124.0,124.0
DC,AMRahane,IND,38.0,0.0,,0.0,,0.0,0.0,0.0,0.0,New_season,0.0,0.0,,122.0,inf
MI,JYadav,IND,10.0,10.0,196.0,30.0,72.0,0.0,4.0,0.0,0.0,older_season,0.0,18.49,77.0,122.0,12.2
MI,APTare,IND,35.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,120.0,inf
SRH,DAWarner,INT,28.0,1.0,,0.1,,0.0,0.0,0.0,0.0,New_season,0.0,12.0,,118.0,118.0
