Player_name,NATIONALITY,team_name,international_matches,ipl_matches_older,ipl_matches_New,international_Inns,ipl_Inns_older,ipl_Inns_New,international_Overs,ipl_Overs_older,ipl_Overs_New,international_Mdns,ipl_Mdns_older,ipl_Mdns_New,international_Runs,ipl_Runs_older,ipl_Runs_New,international_Wkts,ipl_Wkts_older,ipl_Wkts_New,international_Ave,ipl_Ave_older,ipl_Ave_New,international_Econ,ipl_Econ_older,ipl_Econ_New,international_SR,ipl_SR_older,ipl_SR_New,international_four,ipl_four_older,ipl_four_New,international_five,ipl_five_older,ipl_five_New,international_dream_11_points,ipl_dream_11_points_older,ipl_dream_11_points_New,international_consistency,ipl_consistency_older,ipl_consistency_New,dream_11_points_final_points
SDhawan,IND,DC,46,127,49,0,6,0,0,8,0,0,0,0,0,66,0,0,4,0,0,29.33,0,0,14.66,0,0,24,0,0,0,0,0,0,0,6,560,194,0,93.33,inf,168
KLNagarkoti,IND,KKR,0,0,10,0,0,9,0,0,26,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8.88,0,0,0,0,0,0,0,0,0,0,0,157,0,0,17.44,157
MRMarsh,INT,SRH,13,20,1,5,18,1,8,52.3,0.4,0,0,0,52,414,0,4,20,0,13,95.39,0,6.5,30.19,9,12,72.1,0,0,1,0,0,0,0,102,570,0,20.4,31.67,0,150.3
VKohli,IND,RCB,50,149,43,1,26,0,1.4,41.1,0,0,0,0,15,368,0,1,4,0,15,100,0,9,67.93,0,10,74,0,0,0,0,0,0,0,25,590,146,25,22.69,inf,131.4
AMRahane,IND,DC,3,111,38,0,1,0,0,1,0,0,0,0,0,5,0,0,1,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,6,437,122,0,437,inf,131.1
SDube,IND,RR,13,0,15,11,0,7,21.3,0,10.4,0,0,0,216,0,0,5,0,4,43.2,0,0,10.04,0,12.91,25.8,0,0,0,0,0,0,0,0,123,0,130,11.18,0,18.57,127.9
BCJCutting,INT,KKR,3,9,12,3,9,8,10,27.5,19,0,0,0,116,234,0,2,7,3,58,170,0,11.6,24.62,23.38,30,113.4,0,0,0,0,0,0,0,46,199,131,15.33,22.11,16.38,119.78
DAWarner,INT,SRH,24,114,28,0,0,1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,470,118,0,inf,118,118
AbhishekSharma,IND,SRH,0,0,14,0,0,8,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,19.6,0,0,0,0,0,0,0,0,0,0,0,103,0,0,12.88,103
SPDSmith,INT,DC,19,69,26,0,1,0,0,0.2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,6,336,52,0,336,inf,100.8
KSWilliamson,INT,SRH,36,15,38,4,1,1,8,1,2,0,0,0,44,7,0,3,0,0,14.66,0,0,5.5,7,12,16,0,0,0,0,0,0,0,0,79,76,124,19.75,76,124,100.42
AveshKhan,IND,DC,0,1,8,0,1,8,0,4,26,0,0,0,0,23,0,0,1,4,0,23,0,0,5.75,31.23,0,24,0,0,0,0,0,0,0,0,29,126,0,29,15.75,96.9
VRVSingh,IND,SRH,0,19,0,0,18,0,0,60,0,0,0,0,0,542,0,0,12,0,0,120.18,0,0,31.19,0,0,80.1,0,0,0,0,0,0,0,0,318,6,0,17.67,inf,95.4
RParag,IND,RR,0,0,19,0,0,9,0,0,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,22.14,0,0,0,0,0,0,0,0,0,0,0,92,0,0,10.22,92
JYadav,IND,MI,0,10,4,0,10,4,0,30,14,0,0,0,0,196,0,0,4,2,0,77,0,0,18.49,13.28,0,72,0,0,0,0,0,0,0,0,122,68,0,12.2,17,84.2
JDSNeesham,INT,MI,16,4,5,11,4,5,20.3,9,15,0,0,0,251,91,0,7,1,2,35.85,91,0,12.24,10.11,9.86,17.5,54,0,0,0,0,0,0,0,169,23,58,15.36,5.75,11.6,83.95
MandeepSingh,IND,KXIP,3,70,34,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,6,264,78,0,inf,39,78
KMAsif,IND,CSK,0,0,2,0,0,2,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,75,0,0,37.5,75
