"","Player","Span","Mat","Inns","Overs","Mdns","Runs","Wkts","BBI","Ave","Econ","SR","four","five"
"982","A Nao (PNG)","2017-2017","2","2","5.0","0","49","0","-","-","9.80","-","0","0"
"983","A Natubhai Ahir (PNM)","2019-2019","3","3","6.0","0","49","0","-","-","8.16","-","0","0"
"984","Naveed Fakhr (KUW)","2020-2020","1","1","4.0","0","32","0","-","-","8.00","-","0","0"
"985","Navid Balouch (Iran)","2020-2020","3","1","2.0","0","23","0","-","-","11.50","-","0","0"
"986","Nawaf Ahmed (KUW)","2019-2019","1","1","2.0","0","16","0","-","-","8.00","-","0","0"
"987","R Nehonde (Botsw)","2019-2019","7","5","13.0","0","113","0","-","-","8.69","-","0","0"
"988","S Nerandzic (Serb)","2019-2019","2","1","2.0","0","26","0","-","-","13.00","-","0","0"
"989","K Nestor (GIBR)","2019-2019","4","2","6.2","0","54","0","-","-","8.52","-","0","0"
"990","Nizakat Khan (HKG)","2016-2020","24","1","1.0","0","14","0","-","-","14.00","-","0","0"
"991","J Nyumbu (ZIM)","2018-2018","2","2","6.0","0","76","0","-","-","12.66","-","0","0"
"992","R Olipa (UGA)","2019-2019","2","1","1.0","0","8","0","-","-","8.00","-","0","0"
"993","Omar Hayat (DEN)","2019-2019","2","1","1.0","0","11","0","-","-","11.00","-","0","0"
"994","A Orfila (GIBR)","2019-2019","1","1","1.0","0","7","0","-","-","7.00","-","0","0"
"995","A Patel (MWI)","2019-2019","2","1","1.0","0","19","0","-","-","19.00","-","0","0"
"996","C Pengkumta (THAI)","2019-2020","5","4","7.0","0","58","0","-","-","8.28","-","0","0"
"997","T Perera (Botsw)","2019-2019","6","2","3.0","0","37","0","-","-","12.33","-","0","0"
"998","S Periyalwar (ROM)","2019-2020","6","1","0.1","0","4","0","-","-","24.00","-","0","0"
"999","V Permaul (WI)","2018-2018","1","1","0.3","0","8","0","-","-","16.00","-","0","0"
"1000","GD Phillips (NZ)","2017-2021","22","1","2.0","0","21","0","-","-","10.50","-","0","0"
"1001","C Prasad (CRC)","2019-2019","3","1","2.0","0","12","0","-","-","6.00","-","0","0"
"1002","RLB Rambukwella (SL)","2016-2016","1","1","2.3","0","27","0","-","-","10.80","-","0","0"
"1003","Rashid Khan (NEPAL)","2019-2019","1","1","4.0","0","19","0","-","-","4.75","-","0","0"
"1004","R Rohan (SGP)","2019-2020","13","1","1.0","0","7","0","-","-","7.00","-","0","0"
"1005","GR Russ (PHI)","2019-2019","3","2","3.0","0","52","0","-","-","17.33","-","0","0"
"1006","Sakib Hasan (Serb)","2019-2019","2","1","1.0","0","13","0","-","-","13.00","-","0","0"
"1007","Saqlain Arshad (QAT)","2019-2019","2","1","1.0","0","12","0","-","-","12.00","-","0","0"
"1008","Saqlain Sajib (BDESH)","2016-2016","1","1","3.3","0","40","0","-","-","11.42","-","0","0"
"1009","M Sarenac (Serb)","2019-2019","2","1","1.0","0","12","0","-","-","12.00","-","0","0"
"1010","Sayed Shirzad (AFG)","2019-2019","1","1","4.0","0","42","0","-","-","10.50","-","0","0"
"1011","Sazzad Hosen (Belg)","2020-2020","4","1","2.0","0","22","0","-","-","11.00","-","0","0"
"1012","K Senamontree (THAI)","2019-2019","2","2","2.0","0","29","0","-","-","14.50","-","0","0"
"1013","YSD Seneveratne (Caym)","2019-2019","6","2","2.0","0","22","0","-","-","11.00","-","0","0"
"1014","JNK Shannon (IRE)","2016-2018","7","1","1.0","0","11","0","-","-","11.00","-","0","0"
"1015","Shoaib Gazi Hossain (Chile)","2019-2019","4","1","2.0","0","23","0","-","-","11.50","-","0","0"
"1016","P Silas (Botsw)","2019-2019","4","1","1.0","0","21","0","-","-","21.00","-","0","0"
"1017","KRP Silva (USA)","2019-2019","2","1","2.0","0","19","0","-","-","9.50","-","0","0"
"1018","M Simmons (BMUDA)","2019-2019","2","1","2.1","0","21","0","-","-","9.69","-","0","0"
"1019","H Singh (GER)","2019-2020","9","1","1.0","0","16","0","-","-","16.00","-","0","0"
"1020","RAJ Smith (SCOT)","2019-2019","2","2","6.5","0","66","0","-","-","9.65","-","0","0"
"1021","GJ Snyman (SA)","2021-2021","1","1","1.0","0","12","0","-","-","12.00","-","0","0"
"1022","Soheel Hussain (Belg)","2019-2019","1","1","1.0","0","7","0","-","-","7.00","-","0","0"
"1023","S Sola (Samoa)","2019-2019","4","1","1.0","0","9","0","-","-","9.00","-","0","0"
"1024","S Soosiyakumar (BUL)","2019-2019","1","1","2.0","0","16","0","-","-","8.00","-","0","0"
"1025","TJ Stephenson (Blz)","2019-2019","1","1","1.0","0","11","0","-","-","11.00","-","0","0"
"1026","GA Stuurman (SA)","2021-2021","1","1","2.0","0","28","0","-","-","14.00","-","0","0"
"1027","Suresh Kumar (Peru)","2019-2019","2","2","4.0","0","35","0","-","-","8.75","-","0","0"
"1028","Tarun Sharma (Mex)","2019-2019","8","1","1.0","0","14","0","-","-","14.00","-","0","0"
"1029","J Thinley (BHU)","2019-2019","2","2","3.0","0","25","0","-","-","8.33","-","0","0"
"1030","S Tobgay (BHU)","2019-2019","2","1","4.0","0","50","0","-","-","12.50","-","0","0"
"1031","RJW Topley (ENG)","2016-2016","1","1","2.0","0","33","0","-","-","16.50","-","0","0"
"1032","T Tshose (Botsw)","2019-2019","2","1","2.0","0","12","0","-","-","6.00","-","0","0"
"1033","CK Tshuma (ZIM)","2020-2020","1","1","1.0","0","10","0","-","-","10.00","-","0","0"
"1034","HER Tyler (PHI)","2019-2019","2","2","6.0","0","48","0","-","-","8.00","-","0","0"
"1035","W Uisuk (THAI)","2020-2020","4","2","4.0","0","45","0","-","-","11.25","-","0","0"
"1036","E Ul Haq (NOR)","2019-2019","5","1","0.1","0","4","0","-","-","24.00","-","0","0"
"1037","R Ulutuna (TKY)","2019-2019","4","1","1.0","0","11","0","-","-","11.00","-","0","0"
"1038","S Vats (LUX)","2020-2020","1","1","2.0","0","17","0","-","-","8.50","-","0","0"
"1039","S Veerapathiran (BHR)","2020-2020","1","1","2.0","0","22","0","-","-","11.00","-","0","0"
"1040","S Vesawkar (NEPAL)","2018-2019","7","1","3.0","0","25","0","-","-","8.33","-","0","0"
"1041","JK Vifah (Ghana)","2019-2019","3","1","1.1","0","8","0","-","-","6.85","-","0","0"
"1042","Vimal Kumar (PHI)","2019-2019","2","1","3.0","0","32","0","-","-","10.66","-","0","0"
"1043","MN Waller (ZIM)","2016-2018","7","2","4.0","0","38","0","-","-","9.50","-","0","0"
"1044","Waqas Ali (Belg)","2019-2019","2","1","1.0","0","9","0","-","-","9.00","-","0","0"
"1045","Waqas Raja (Fin)","2019-2019","1","1","1.0","0","9","0","-","-","9.00","-","0","0"
"1046","Wasim Ali (OMAN)","2019-2020","3","3","8.0","0","42","0","-","-","5.25","-","0","0"
"1047","N Yordanov (BUL)","2019-2019","2","1","3.0","0","20","0","-","-","6.66","-","0","0"
"1048","Zeeshan Abbas (BHR)","2019-2019","1","1","4.0","0","20","0","-","-","5.00","-","0","0"
"1049","ME Sanuth (OMAN)","2020-2020","1","-","-","-","-","-","-","-","-","-","-","-"
"1050","Aamer Ikram (PORT)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1051","Aarif Sheikh (NEPAL)","2018-2020","14","-","-","-","-","-","-","-","-","-","-","-"
"1052","Z Abbasi (Botsw)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1053","Abbas Saad (Saudi)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1054","Abdullah Shafique (PAK)","2020-2020","3","-","-","-","-","-","-","-","-","-","-","-"
"1055","Abdul Rashid (Belg)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1056","Abdul Shakoor (UAE)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1057","Abdul Shakoor (ROM)","2019-2020","4","-","-","-","-","-","-","-","-","-","-","-"
"1058","Abraash Khan (CAN)","2019-2019","7","-","-","-","-","-","-","-","-","-","-","-"
"1059","Abrar Bilal (Aut)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1060","F Achelam (UGA)","2019-2020","4","-","-","-","-","-","-","-","-","-","-","-"
"1061","Abdul Hashmi (DEN)","2019-2019","8","-","-","-","-","-","-","-","-","-","-","-"
"1062","Adil Hanif (BHR)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1063","Adnan Mufti (UAE)","2017-2017","1","-","-","-","-","-","-","-","-","-","-","-"
"1064","P Agnihotri (NOR)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1065","Ahmed Faiz (MAL)","2019-2020","18","-","-","-","-","-","-","-","-","-","-","-"
"1066","Ahmed Shehzad (PAK)","2016-2019","18","-","-","-","-","-","-","-","-","-","-","-"
"1067","Ahsan Abbasi (HKG)","2019-2019","6","-","-","-","-","-","-","-","-","-","-","-"
"1068","Ahsan Ali (PAK)","2020-2020","2","-","-","-","-","-","-","-","-","-","-","-"
"1069","KK Ahuja (Mex)","2019-2019","8","-","-","-","-","-","-","-","-","-","-","-"
"1070","Ainool Hafizs (MAL)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1071","Ainool Haqqiem (MAL)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1072","PS Airee (NEPAL)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1073","C Akyuz (TKY)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1074","AD Algar (ESP)","2020-2020","1","-","-","-","-","-","-","-","-","-","-","-"
"1075","Ali Ivan (Mald)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1076","Ali Abbas (Saudi)","2020-2020","1","-","-","-","-","-","-","-","-","-","-","-"
"1077","Ali Mohammadipour (Iran)","2020-2020","3","-","-","-","-","-","-","-","-","-","-","-"
"1078","HS Alta (TKY)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1079","Amjad Khan (UAE)","2016-2016","3","-","-","-","-","-","-","-","-","-","-","-"
"1080","HM Amla (SA/World)","2016-2018","11","-","-","-","-","-","-","-","-","-","-","-"
"1081","Anam Mollik (ITA)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1082","A Anemogiannis ()","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1083","B Angeltti (Arg)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1084","Ansh Tandon (UAE)","2020-2020","1","-","-","-","-","-","-","-","-","-","-","-"
"1085","Anwar Arudin (MAL)","2019-2020","17","-","-","-","-","-","-","-","-","-","-","-"
"1086","SE Aquilina (MLT)","2019-2020","7","-","-","-","-","-","-","-","-","-","-","-"
"1087","V Aravind (UAE)","2020-2020","5","-","-","-","-","-","-","-","-","-","-","-"
"1088","Areeb Quadir (Fin)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1089","Z Arinaitwe (UGA)","2019-2020","6","-","-","-","-","-","-","-","-","-","-","-"
"1090","Aritra Dutta (SGP)","2019-2019","8","-","-","-","-","-","-","-","-","-","-","-"
"1091","P Arora (Mex)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1092","Arsalan Arif (Aut)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1093","Arshad Mazarzei (Iran)","2020-2020","3","-","-","-","-","-","-","-","-","-","-","-"
"1094","Arslan Ahmed (PORT)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1095","Asghar Afghan (AFG)","2016-2021","37","-","-","-","-","-","-","-","-","-","-","-"
"1096","Asif Ali (PAK)","2018-2021","26","-","-","-","-","-","-","-","-","-","-","-"
"1097","Aslam Mohammad ()","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1098","SK Atai (PNG)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1099","S Ateak (Ghana)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1100","JJ Atkinson (HKG)","2020-2020","4","-","-","-","-","-","-","-","-","-","-","-"
"1101","Awais Ahmed (ESP)","2019-2020","11","-","-","-","-","-","-","-","-","-","-","-"
"1102","AJ Ayannaike (NGA)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1103","Azyan Farhath (Mald)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1104","F Baaleri (Ghana)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1105","SJ Baard (NAM)","2019-2019","13","-","-","-","-","-","-","-","-","-","-","-"
"1106","Babar Azam (PAK)","2016-2021","47","-","-","-","-","-","-","-","-","-","-","-"
"1107","Babar Hayat (HKG)","2016-2017","4","-","-","-","-","-","-","-","-","-","-","-"
"1108","GJ Bailey (AUS/World)","2016-2017","2","-","-","-","-","-","-","-","-","-","-","-"
"1109","JM Bairstow (ENG)","2016-2021","31","-","-","-","-","-","-","-","-","-","-","-"
"1110","R Bakum (Ghana)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1111","V Balakrishnan (Botsw)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1112","A Balbirnie (IRE)","2018-2020","33","-","-","-","-","-","-","-","-","-","-","-"
"1113","B Banerjee (Mex)","2019-2019","6","-","-","-","-","-","-","-","-","-","-","-"
"1114","T Banton (ENG)","2019-2020","9","-","-","-","-","-","-","-","-","-","-","-"
"1115","J Barker (LUX)","2019-2020","7","-","-","-","-","-","-","-","-","-","-","-"
"1116","LJ Barker (GUE)","2019-2020","10","-","-","-","-","-","-","-","-","-","-","-"
"1117","TC Barker (LUX)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1118","P Baron (Arg)","2019-2019","5","-","-","-","-","-","-","-","-","-","-","-"
"1119","O Bascome (BMUDA)","2019-2019","11","-","-","-","-","-","-","-","-","-","-","-"
"1120","OO Bascome (BMUDA)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1121","Basil Hameed (UAE)","2020-2020","4","-","-","-","-","-","-","-","-","-","-","-"
"1122","D Bau (PNG)","2017-2017","1","-","-","-","-","-","-","-","-","-","-","-"
"1123","T Bavuma (SA)","2019-2020","8","-","-","-","-","-","-","-","-","-","-","-"
"1124","A Bhagwat (HKG)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1125","B Bhandari (NEPAL)","2019-2020","20","-","-","-","-","-","-","-","-","-","-","-"
"1126","M Bhanuka (SL)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1127","TS Bharaj (DEN)","2019-2019","9","-","-","-","-","-","-","-","-","-","-","-"
"1128","MP Biddappa (PHI)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1129","Bilal Ahmed (Serb)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1130","Bilal Tahir (KUW)","2019-2020","7","-","-","-","-","-","-","-","-","-","-","-"
"1131","SW Billings (ENG/ICC)","2016-2020","24","-","-","-","-","-","-","-","-","-","-","-"
"1132","K Birkenstock (NAM)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1133","C Bisson (JER)","2019-2019","14","-","-","-","-","-","-","-","-","-","-","-"
"1134","TA Blundell (NZ)","2017-2018","3","-","-","-","-","-","-","-","-","-","-","-"
"1135","PW Borren (NL)","2017-2017","3","-","-","-","-","-","-","-","-","-","-","-"
"1136","DM Bravo (WI)","2018-2019","8","-","-","-","-","-","-","-","-","-","-","-"
"1137","NT Broom (NZ)","2017-2017","1","-","-","-","-","-","-","-","-","-","-","-"
"1138","S Browne (LUX)","2020-2020","4","-","-","-","-","-","-","-","-","-","-","-"
"1139","TC Bruce (NZ)","2017-2020","17","-","-","-","-","-","-","-","-","-","-","-"
"1140","DE Budge (SCOT)","2018-2018","6","-","-","-","-","-","-","-","-","-","-","-"
"1141","A Bulow (DEN)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1142","G Burrows (IOM)","2020-2020","1","-","-","-","-","-","-","-","-","-","-","-"
"1143","JC Buttler (ENG)","2016-2021","35","-","-","-","-","-","-","-","-","-","-","-"
"1144","S Byrne (MLT)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1145","G Caisley ()","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1146","AT Carey (AUS)","2018-2020","30","-","-","-","-","-","-","-","-","-","-","-"
"1147","C Carter (HKG)","2016-2017","3","-","-","-","-","-","-","-","-","-","-","-"
"1148","T Caruana (GIBR)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1149","D Cato (Caym)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1150","RW Chakabva (ZIM)","2019-2019","7","-","-","-","-","-","-","-","-","-","-","-"
"1151","LD Chandimal (SL)","2016-2021","18","-","-","-","-","-","-","-","-","-","-","-"
"1152","VD Chandra (PNM)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1153","S Chandramohan (SGP)","2019-2020","15","-","-","-","-","-","-","-","-","-","-","-"
"1154","BB Chari (ZIM)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1155","J Charles (WI)","2016-2016","10","-","-","-","-","-","-","-","-","-","-","-"
"1156","G Chaturvedi (MLT)","2019-2020","5","-","-","-","-","-","-","-","-","-","-","-"
"1157","N Chejay (BHU)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1158","C Chete (MWI)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1159","E Chigumbura (ZIM)","2016-2020","13","-","-","-","-","-","-","-","-","-","-","-"
"1160","VB Chikkannaiah (GER)","2019-2020","9","-","-","-","-","-","-","-","-","-","-","-"
"1161","Chirag Suri (UAE)","2018-2020","12","-","-","-","-","-","-","-","-","-","-","-"
"1162","S Chophel (BHU)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1163","I Civric (Serb)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1164","GL Cloete (SA)","2018-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1165","KJ Coetzer (SCOT)","2017-2019","23","-","-","-","-","-","-","-","-","-","-","-"
"1166","LA Collado (GIBR)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1167","NG Collins (Fin)","2019-2019","5","-","-","-","-","-","-","-","-","-","-","-"
"1168","DP Conway (NZ)","2020-2021","11","-","-","-","-","-","-","-","-","-","-","-"
"1169","BN Cooper (NL)","2017-2019","28","-","-","-","-","-","-","-","-","-","-","-"
"1170","SJ Cotter (Samoa)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1171","MH Cross (SCOT)","2017-2019","24","-","-","-","-","-","-","-","-","-","-","-"
"1172","DDP D'Silva (UAE)","2019-2019","10","-","-","-","-","-","-","-","-","-","-","-"
"1173","DK Dahani (Iran)","2020-2020","3","-","-","-","-","-","-","-","-","-","-","-"
"1174","S Dalton (CZK-R)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1175","IDA Damarell (GUE)","2020-2020","1","-","-","-","-","-","-","-","-","-","-","-"
"1176","P Danci (ROM)","2019-2020","4","-","-","-","-","-","-","-","-","-","-","-"
"1177","N Davin (NAM)","2019-2019","16","-","-","-","-","-","-","-","-","-","-","-"
"1178","TB de Bruyn (SA)","2017-2017","2","-","-","-","-","-","-","-","-","-","-","-"
"1179","Q de Kock (SA)","2016-2020","22","-","-","-","-","-","-","-","-","-","-","-"
"1180","CJ Delany (GIBR)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1181","D de la Puente (Peru)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1182","IA De Silva (BUL)","2020-2020","6","-","-","-","-","-","-","-","-","-","-","-"
"1183","AB de Villiers (SA)","2016-2017","11","-","-","-","-","-","-","-","-","-","-","-"
"1184","S Dhawan (INDIA)","2016-2021","46","-","-","-","-","-","-","-","-","-","-","-"
"1185","MS Dhoni (INDIA)","2016-2019","34","-","-","-","-","-","-","-","-","-","-","-"
"1186","N Dickwella (SL)","2017-2021","23","-","-","-","-","-","-","-","-","-","-","-"
"1187","V Dikov (BUL)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1188","K Doriga (PNG)","2019-2019","17","-","-","-","-","-","-","-","-","-","-","-"
"1189","JN Dorji (BHU)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1190","RM Dorji (BHU)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1191","U Dorji (BHU)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1192","BM Duckett (ENG)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1193","LA Dunbar (Serb)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1194","JSE Dunford (JER)","2019-2019","17","-","-","-","-","-","-","-","-","-","-","-"
"1195","BR Dunk (AUS)","2017-2017","2","-","-","-","-","-","-","-","-","-","-","-"
"1196","J Dunn (VAN)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1197","F du Plessis (SA/World)","2016-2020","19","-","-","-","-","-","-","-","-","-","-","-"
"1198","G Dutta (Mex)","2019-2019","7","-","-","-","-","-","-","-","-","-","-","-"
"1199","SA Edwards (NL)","2018-2019","29","-","-","-","-","-","-","-","-","-","-","-"
"1200","L Emilio (Moz)","2019-2019","5","-","-","-","-","-","-","-","-","-","-","-"
"1201","C Emmott (Chile)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1202","CR Ervine (ZIM)","2019-2020","9","-","-","-","-","-","-","-","-","-","-","-"
"1203","R Escobar (Arg)","2019-2019","5","-","-","-","-","-","-","-","-","-","-","-"
"1204","Fahad Ali ()","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1205","Faisal Javed (QAT)","2019-2019","15","-","-","-","-","-","-","-","-","-","-","-"
"1206","Fayaz Mohammad (BUL)","2020-2020","1","-","-","-","-","-","-","-","-","-","-","-"
"1207","LB Ferbrache (GUE)","2019-2020","10","-","-","-","-","-","-","-","-","-","-","-"
"1208","A Ferguson (Arg)","2019-2019","5","-","-","-","-","-","-","-","-","-","-","-"
"1209","BOP Fernando (SL)","2019-2020","6","-","-","-","-","-","-","-","-","-","-","-"
"1210","WIA Fernando (SL)","2019-2020","15","-","-","-","-","-","-","-","-","-","-","-"
"1211","NJ Ferraby (JER)","2019-2019","14","-","-","-","-","-","-","-","-","-","-","-"
"1212","Fiaz Ahmed (BHR)","2019-2020","8","-","-","-","-","-","-","-","-","-","-","-"
"1213","Fida Hussain (ITA)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1214","AJ Finch (AUS)","2016-2021","45","-","-","-","-","-","-","-","-","-","-","-"
"1215","ADS Fletcher (WI)","2016-2020","21","-","-","-","-","-","-","-","-","-","-","-"
"1216","BT Foakes (ENG)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1217","O Fournier (CRC)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1218","TS Fray (BMUDA)","2019-2019","10","-","-","-","-","-","-","-","-","-","-","-"
"1219","JD Freyone (GIBR)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1220","S Gajjar (CZK-R)","2020-2020","3","-","-","-","-","-","-","-","-","-","-","-"
"1221","PF Gallagher (Fin)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1222","AR Gandhi (KENYA)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1223","Garret Banner (Blz)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1224","A Gavde (Caym)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1225","R Gaznavi (SGP)","2019-2020","5","-","-","-","-","-","-","-","-","-","-","-"
"1226","HS Gericke (MLT)","2020-2020","3","-","-","-","-","-","-","-","-","-","-","-"
"1227","Gershon Yusuf (NGA)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1228","Ghulam Shabber (UAE)","2016-2019","17","-","-","-","-","-","-","-","-","-","-","-"
"1229","O Goker (TKY)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1230","LF Goncalves ()","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1231","DM Gondaria (KENYA)","2019-2019","9","-","-","-","-","-","-","-","-","-","-","-"
"1232","R Goodwin (PHI)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1233","M Goonetilleke (MLT)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1234","S Goud (CZK-R)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1235","ZE Green (NAM)","2019-2019","16","-","-","-","-","-","-","-","-","-","-","-"
"1236","K Gupta (Chile)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1237","MJ Guptill (NZ)","2016-2021","41","-","-","-","-","-","-","-","-","-","-","-"
"1238","Haider Ali (PAK)","2020-2021","10","-","-","-","-","-","-","-","-","-","-","-"
"1239","OJ Hairs (SCOT)","2019-2019","8","-","-","-","-","-","-","-","-","-","-","-"
"1240","AD Hales (ENG)","2016-2019","20","-","-","-","-","-","-","-","-","-","-","-"
"1241","S Hallett (Peru)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1242","Hamed Khan (HKG)","2020-2020","3","-","-","-","-","-","-","-","-","-","-","-"
"1243","Hamid Hashemi (Iran)","2020-2020","1","-","-","-","-","-","-","-","-","-","-","-"
"1244","Hamza Tariq (CAN)","2019-2019","12","-","-","-","-","-","-","-","-","-","-","-"
"1245","PSP Handscomb (AUS)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1246","Haris Sohail (PAK)","2018-2019","10","-","-","-","-","-","-","-","-","-","-","-"
"1247","C Hartmann (IOM)","2020-2020","1","-","-","-","-","-","-","-","-","-","-","-"
"1248","Hashmatullah Shahidi (AFG)","2021-2021","1","-","-","-","-","-","-","-","-","-","-","-"
"1249","Hassan Rasheed (Mald)","2019-2020","11","-","-","-","-","-","-","-","-","-","-","-"
"1250","C Hauptfleisch (Caym)","2019-2019","5","-","-","-","-","-","-","-","-","-","-","-"
"1251","Hazratullah Zazai (AFG)","2016-2020","15","-","-","-","-","-","-","-","-","-","-","-"
"1252","H Helva (TKY)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1253","RR Hendricks (SA)","2017-2021","23","-","-","-","-","-","-","-","-","-","-","-"
"1254","SO Hetmyer (WI)","2018-2020","27","-","-","-","-","-","-","-","-","-","-","-"
"1255","R Heyns (LUX)","2020-2020","2","-","-","-","-","-","-","-","-","-","-","-"
"1256","Hilal Ahmad (CZK-R)","2019-2020","10","-","-","-","-","-","-","-","-","-","-","-"
"1257","H Hiri (PNG)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1258","SD Hope (WI)","2017-2019","13","-","-","-","-","-","-","-","-","-","-","-"
"1259","Ibrahim Zadran (AFG)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1260","Imam-ul-Haq (PAK)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1261","Imran Ali Butt (BHR)","2019-2020","8","-","-","-","-","-","-","-","-","-","-","-"
"1262","Imran Haider (ROM)","2019-2020","3","-","-","-","-","-","-","-","-","-","-","-"
"1263","Imran Ismail (Moz)","2019-2019","7","-","-","-","-","-","-","-","-","-","-","-"
"1264","Imrul Kayes (BDESH)","2017-2017","6","-","-","-","-","-","-","-","-","-","-","-"
"1265","Ishan Kishan (INDIA)","2021-2021","2","-","-","-","-","-","-","-","-","-","-","-"
"1266","Ismail Sardar (THAI)","2020-2020","2","-","-","-","-","-","-","-","-","-","-","-"
"1267","SS Iyer (INDIA)","2017-2021","28","-","-","-","-","-","-","-","-","-","-","-"
