,Player,Span,Mat,Runs,HS,Bat_Av,hundred,Wkts,BBI,Bowl_Av,five,Ct,St,Ave_Diff
1390,VP Thamotharam (MLT),2020-2020,2,29,24*,29,0,1,Jan-37,77,0,1,0,-47.99
1391,J Thinley (BHU),2019-2019,2,-,-,-,-,0,-,-,0,0,0,-
1392,S Tobgay (BHU),2019-2019,2,39,24,19.5,0,0,-,-,0,1,0,-
1393,T Tshose (Botsw),2019-2019,2,4,4*,-,0,0,-,-,0,2,0,-
1394,HER Tyler (PHI),2019-2019,2,6,6,6,0,0,-,-,0,0,0,-
1395,Vimal Kumar (PHI),2019-2019,2,-,-,-,-,0,-,-,0,1,0,-
1396,R Vishwanath (LUX),2019-2019,2,8,5,4,0,-,-,-,-,0,0,-
1397,T Wangchuk jnr (BHU),2019-2019,2,9,9,4.5,0,-,-,-,-,0,0,-
1398,Waqas Ali (Belg),2019-2019,2,27,14,13.5,0,0,-,-,0,1,0,-
1399,SA Wijeyeratne (CAN),2019-2019,2,77,56,38.5,0,-,-,-,-,1,0,-
1400,JD Wildermuth (AUS),2018-2018,2,1,1*,-,0,1,Jan-16,32,0,1,0,-
1401,SA Yadav (INDIA),2021-2021,2,57,57*,-,0,-,-,-,-,1,0,-
1402,N Yordanov (BUL),2019-2019,2,19,19*,19,0,0,-,-,0,0,0,-
1403,Zameer Khan (DEN),2019-2019,2,60,33,60,0,-,-,-,-,1,0,-
1404,C Zhuwao (ZIM),2018-2018,2,24,24,12,0,-,-,-,-,1,0,-
1405,ME Sanuth (OMAN),2020-2020,1,5,5,5,0,-,-,-,-,0,0,-
1406,Aamer Yamin (PAK),2018-2018,1,15,15*,-,0,1,Jan-25,25,0,0,0,-
1407,Z Abbasi (Botsw),2019-2019,1,1,1,1,0,-,-,-,-,0,0,-
1408,Abdullah Mahmood (DEN),2019-2019,1,2,2,2,0,0,-,-,0,0,0,-
1409,Abdul Rashid (Belg),2019-2019,1,9,9,9,0,-,-,-,-,0,0,-
1410,RA Abolarin (NGA),2019-2019,1,-,-,-,-,0,-,-,0,0,0,-
1411,Abul Hasan (BDESH),2018-2018,1,5,5,5,0,2,Feb-40,20,0,0,0,-14.99
1412,Adel Kolasangiani (Iran),2020-2020,1,2,2*,-,0,0,-,-,0,0,0,-
1413,Adnan Mufti (UAE),2017-2017,1,6,6*,-,0,-,-,-,-,0,0,-
1414,N Advani (GIBR),2019-2019,1,2,2,2,0,1,01-Dec,12,0,0,0,-9.99
1415,Aftab Ahmed (2) (DEN),2019-2019,1,10,10,10,0,1,01-Oct,10,0,0,0,0
1416,Aftab Kayani (ROM),2020-2020,1,10,10,10,0,0,-,-,0,0,0,-
1417,Ahmed Raid (Mald),2020-2020,1,-,-,-,-,0,-,-,0,0,0,-
1418,C Akyuz (TKY),2019-2019,1,0,0,0,0,-,-,-,-,0,0,-
1419,AD Algar (ESP),2020-2020,1,-,-,-,-,-,-,-,-,2,0,-
1420,Ali Ivan (Mald),2019-2019,1,11,11,11,0,-,-,-,-,0,0,-
1421,Ali Abbas (Saudi),2020-2020,1,4,4*,-,0,-,-,-,-,0,0,-
1422,A Anemogiannis (),2019-2019,1,-,-,-,-,-,-,-,-,0,0,-
1423,MJ Ansell (IOM),2020-2020,1,6,6,6,0,0,-,-,0,0,0,-
1424,Ansh Tandon (UAE),2020-2020,1,14,14,14,0,-,-,-,-,3,0,-
1425,Arsalan Arif (Aut),2019-2019,1,26,26*,-,0,-,-,-,-,0,1,-
1426,TD Astle (NZ),2019-2019,1,3,3,3,0,3,Mar-28,9.33,0,1,0,-6.33
1427,Atif Ali Khan (UAE),2016-2016,1,-,-,-,-,0,-,-,0,0,0,-
1428,Avi Dixit (SGP),2019-2019,1,12,12*,-,0,0,-,-,0,1,0,-
1429,KMC Bandara (SL),2016-2016,1,2,2*,-,0,0,-,-,0,0,0,-
1430,S Bantzas (),2019-2019,1,-,-,-,-,3,03-Dec,4,0,1,0,-
1431,D Bau (PNG),2017-2017,1,-,-,-,-,-,-,-,-,0,0,-
1432,LT Bichard (GUE),2020-2020,1,-,-,-,-,0,-,-,0,0,0,-
1433,Bilal Ahmed (Serb),2019-2019,1,19,19,19,0,-,-,-,-,0,0,-
1434,STR Binny (INDIA),2016-2016,1,-,-,-,-,0,-,-,0,0,0,-
1435,SM Boland (AUS),2016-2016,1,-,-,-,-,3,Mar-26,8.66,0,1,0,-
1436,M Breban (GUE),2020-2020,1,-,-,-,-,3,Mar-24,8,0,0,0,-
1437,NT Broom (NZ),2017-2017,1,6,6,6,0,-,-,-,-,0,0,-
1438,G Burrows (IOM),2020-2020,1,13,13,13,0,-,-,-,-,0,0,-
1439,JA Burrows (IOM),2020-2020,1,3,3,3,0,0,-,-,0,1,0,-
1440,J Butler (IOM),2020-2020,1,-,-,-,-,1,Jan-34,34,0,0,0,-
1441,N Chejay (BHU),2019-2019,1,-,-,-,-,-,-,-,-,1,0,-
1442,S Chophel (BHU),2019-2019,1,2,2*,-,0,-,-,-,-,0,0,-
1443,DT Christian (AUS),2017-2017,1,9,9,9,0,0,-,-,0,0,0,-
1444,I Civric (Serb),2019-2019,1,0,0,0,0,-,-,-,-,0,0,-
1445,PD Collingwood (World),2017-2017,1,-,-,-,-,0,-,-,0,1,0,-
1446,IDA Damarell (GUE),2020-2020,1,52,52,52,0,-,-,-,-,0,0,-
1447,R Dhawan (INDIA),2016-2016,1,1,1*,-,0,1,Jan-42,42,0,2,0,-
1448,JN Dorji (BHU),2019-2019,1,0,0,0,0,-,-,-,-,0,0,-
1449,RM Dorji (BHU),2019-2019,1,27,27,27,0,-,-,-,-,0,0,-
1450,BM Duckett (ENG),2019-2019,1,9,9,9,0,-,-,-,-,0,0,-
1451,JA Duffy (NZ),2020-2020,1,-,-,-,-,4,Apr-33,8.25,0,0,0,-
1452,M Faraz Akram (ZIM),2020-2020,1,2,2*,-,0,0,-,-,0,0,0,-
1453,Fayaz Mohammad (BUL),2020-2020,1,5,5*,-,0,-,-,-,-,-,-,-
1454,Fazal Niazai (AFG),2019-2019,1,12,12,12,0,0,-,-,0,0,0,-
1455,MVT Fernando (SL),2017-2017,1,2,2,2,0,0,-,-,0,0,0,-
1456,BT Foakes (ENG),2019-2019,1,-,-,-,-,-,-,-,-,1,0,-
1457,Garret Banner (Blz),2019-2019,1,-,-,-,-,-,-,-,-,0,0,-
1458,A Gavde (Caym),2019-2019,1,1,1,1,0,-,-,-,-,0,0,-
1459,Gershon Yusuf (NGA),2019-2019,1,0,0,0,0,-,-,-,-,1,0,-
1460,O Goker (TKY),2019-2019,1,1,1*,-,0,-,-,-,-,0,0,-
1461,M Goonetilleke (MLT),2019-2019,1,0,0,0,0,-,-,-,-,0,0,-
1462,S Goud (CZK-R),2019-2019,1,-,-,-,-,-,-,-,-,1,0,-
1463,Hamid Hashemi (Iran),2020-2020,1,-,-,-,-,-,-,-,-,0,0,-
1464,Hamid Hassan (AFG),2016-2016,1,-,-,-,-,1,Jan-19,19,0,0,0,-
1465,Hamza Dar (ESP),2019-2019,1,8,8,8,0,0,-,-,0,1,0,-
1466,C Hartmann (IOM),2020-2020,1,6,6,6,0,-,-,-,-,0,0,-
1467,Hasan Mahmud (BDESH),2020-2020,1,-,-,-,-,0,-,-,0,0,0,-
1468,Hashmatullah Shahidi (AFG),2021-2021,1,-,-,-,-,-,-,-,-,1,0,-
1469,Hassan Khan Mohammad (HKG),2020-2020,1,-,-,-,-,0,-,-,0,0,0,-
1470,RJ Hatchman (GIBR),2019-2019,1,-,-,-,-,0,-,-,0,0,0,-
1471,MJ Henry (NZ),2017-2017,1,-,-,-,-,1,Jan-44,44,0,1,0,-
1472,Ibrahim Khan (Saudi),2019-2019,1,-,-,-,-,0,-,-,0,0,0,-
1473,Javed Ahmadi (AFG),2017-2017,1,0,0,0,0,-,-,-,-,0,0,-
1474,GJ Joseph (Blz),2019-2019,1,-,-,-,-,-,-,-,-,0,0,-
1475,B Karki (NEPAL),2020-2020,1,-,-,-,-,1,01-Jun,6,0,0,0,-
1476,N Knights (IOM),2020-2020,1,9,9,9,0,-,-,-,-,0,0,-
1477,A Lagos (),2019-2019,1,1,1*,-,0,0,-,-,0,1,0,-
1478,T Langa (VAN),2019-2019,1,14,14,14,0,-,-,-,-,0,0,-
1479,CJ Langford (IOM),2020-2020,1,8,8,8,0,1,Jan-17,17,0,0,0,-8.99
1480,TWM Latham (NZ),2017-2017,1,39,39,39,0,-,-,-,-,3,0,-
1481,C Liebenberg (IOM),2020-2020,1,1,1,1,0,0,-,-,0,0,0,-
1482,I Lisboa (Chile),2019-2019,1,2,2,2,0,0,-,-,0,0,0,-
1483,K Loday (BHU),2019-2019,1,0,0*,-,0,-,-,-,-,0,0,-
1484,L Louwrens (NAM),2019-2019,1,17,17*,-,0,-,-,-,-,0,0,-
1485,NM Lyon (AUS),2018-2018,1,4,4*,-,0,1,Jan-33,33,0,0,0,-
1486,AM McCarthy (WI),2018-2018,1,5,5,5,0,0,-,-,0,0,0,-
1487,NL McCullum (NZ),2016-2016,1,0,0,0,0,1,01-Jun,6,0,1,0,-5.99
1488,MF Maharoof (SL),2016-2016,1,10,10,10,0,0,-,-,0,0,0,-
1489,M Markande (INDIA),2019-2019,1,-,-,-,-,0,-,-,0,0,0,-
1490,JC Martin (GUE),2020-2020,1,-,-,-,-,-,-,-,-,0,0,-
1491,A McAuley (IOM),2020-2020,1,43,43,43,0,-,-,-,-,0,0,-
1492,M Meade (Chile),2019-2019,1,0,0,0,0,-,-,-,-,1,0,-
1493,Mehran Dorri (Iran),2020-2020,1,0,0*,-,0,-,-,-,-,0,0,-
1494,Mehran Siasar (Iran),2020-2020,1,0,0,0,0,-,-,-,-,0,0,-
1495,Michael Nazir (MLT),2019-2019,1,0,0,0,0,-,-,-,-,0,0,-
1496,Mihusan Hamid (Mald),2019-2019,1,-,-,-,-,0,-,-,0,0,0,-
1497,S Mills (IOM),2020-2020,1,1,1*,-,0,-,-,-,-,0,0,-
1498,Mohammad Ayaz (UAE),2020-2020,1,0,0,0,0,0,-,-,0,0,0,-
1499,MR Montfort (CAN),2019-2019,1,1,1*,-,0,1,Jan-25,25,0,0,0,-
1500,VV Morea (PNG),2017-2017,1,0,0,0,0,-,-,-,-,0,0,-
1501,Muhammad Amir (MAL),2019-2019,1,-,-,-,-,-,-,-,-,1,0,-
1502,Muhammed Shanil (UAE),2016-2016,1,1,1*,-,0,0,-,-,0,0,0,-
1503,Musa Shaheen (DEN),2019-2019,1,0,0,0,0,3,03-Nov,3.66,0,0,0,-3.66
1504,NH Naureen (ESP),2019-2019,1,-,-,-,-,1,Jan-32,32,0,0,0,-
1505,Naveed Fakhr (KUW),2020-2020,1,0,0*,-,0,0,-,-,0,0,0,-
1506,Nawaf Ahmed (KUW),2019-2019,1,0,0*,-,0,0,-,-,0,0,0,-
1507,Nawazish Jezuli (Saudi),2019-2019,1,-,-,-,-,-,-,-,-,2,0,-
1508,TW Nightingale (GUE),2020-2020,1,-,-,-,-,-,-,-,-,2,0,-
1509,K Nima (BHU),2019-2019,1,2,2*,-,0,1,Jan-22,22,0,0,0,-
1510,Noman Kamawi (Belg),2019-2019,1,2,2,2,0,1,Jan-28,28,0,0,0,-25.99
1511,L Nussbaumer (GUE),2019-2019,1,0,0,0,0,2,Feb-44,22,0,1,0,-21.99
1512,A Orfila (GIBR),2019-2019,1,0,0,0,0,0,-,-,0,0,0,-
1513,Parvez Rasool (INDIA),2017-2017,1,5,5,5,0,1,Jan-32,32,0,0,0,-26.99
1514,V Permaul (WI),2018-2018,1,-,-,-,-,0,-,-,0,0,0,-
1515,T Phaswana (Botsw),2019-2019,1,0,0,0,0,-,-,-,-,0,0,-
1516,R Pisal (ROM),2019-2019,1,-,-,-,-,3,03-Apr,1.33,0,1,0,-
1517,Qais Ahmad (AFG),2020-2020,1,0,0*,-,0,3,Mar-25,8.33,0,0,0,-
1518,RLB Rambukwella (SL),2016-2016,1,19,19,19,0,0,-,-,0,0,0,-
1519,DA Rankin (IRE),2016-2016,1,15,15,15,0,-,-,-,-,0,0,-
1520,Rashid Khan (NEPAL),2019-2019,1,-,-,-,-,0,-,-,0,0,0,-
1521,EB Ringera (KENYA),2019-2019,1,1,1,1,0,4,Apr-18,4.5,0,0,0,-3.49
1522,RR Rossouw (SA),2016-2016,1,0,0,0,0,-,-,-,-,0,0,-
1523,HD Rutherford (NZ),2019-2019,1,0,0,0,0,-,-,-,-,0,0,-
1524,AK Sah (NEPAL),2018-2018,1,-,-,-,-,-,-,-,-,0,0,-
1525,Sami Ullah (ROM),2020-2020,1,10,10,10,0,2,Feb-23,11.5,0,0,0,-1.49
1526,Saqlain Sajib (BDESH),2016-2016,1,-,-,-,-,0,-,-,0,0,0,-
1527,Sayed Shirzad (AFG),2019-2019,1,-,-,-,-,0,-,-,0,0,0,-
1528,Sherul Mehta (Belg),2020-2020,1,14,14,14,0,-,-,-,-,0,0,-
1529,M Shumba (ZIM),2020-2020,1,11,11,11,0,1,Jan-28,28,0,0,0,-16.99
1530,V Sibanda (ZIM),2016-2016,1,28,28,28,0,-,-,-,-,0,0,-
1531,Simranjit Singh (ITA),2019-2019,1,8,8,8,0,-,-,-,-,0,0,-
1532,S Singh (PORT),2019-2019,1,0,0,0,0,-,-,-,-,0,0,-
1533,GJ Snyman (SA),2021-2021,1,2,2,2,0,0,-,-,0,1,0,-
1534,Soheel Hussain (Belg),2019-2019,1,-,-,-,-,0,-,-,0,0,0,-
1535,S Soosiyakumar (BUL),2019-2019,1,0,0,0,0,0,-,-,0,0,0,-
1536,ES Soto (CRC),2019-2019,1,0,0,0,0,-,-,-,-,0,0,-
1537,L Sreekumar (UAE),2017-2017,1,0,0,0,0,-,-,-,-,0,0,-
1538,H Srinivasan (GER),2019-2019,1,-,-,-,-,-,-,-,-,1,1,-
1539,TJ Stephenson (Blz),2019-2019,1,-,-,-,-,0,-,-,0,0,0,-
1540,GA Stuurman (SA),2021-2021,1,-,-,-,-,0,-,-,0,0,0,-
1541,K Subramanian (SGP),2020-2020,1,-,-,-,-,3,Mar-27,9,0,0,0,-
1542,Suhrid Roy (MLT),2019-2019,1,2,2*,-,0,1,Jan-44,44,0,0,0,-
1543,Sumair Khan (MLT),2019-2019,1,7,7,7,0,-,-,-,-,0,0,-
1544,Talha Khan (GER),2019-2019,1,40,40*,-,0,-,-,-,-,0,0,-
1545,Tanwir Afzal (HKG),2016-2016,1,6,6,6,0,2,Feb-18,9,0,1,0,-2.99
1546,SP Terry (IRE),2016-2016,1,4,4,4,0,-,-,-,-,1,0,-
1547,H Thaker (CAN),2019-2019,1,11,11,11,0,-,-,-,-,0,0,-
1548,RJW Topley (ENG),2016-2016,1,-,-,-,-,0,-,-,0,0,0,-
1549,CK Tshuma (ZIM),2020-2020,1,-,-,-,-,0,-,-,0,0,0,-
1550,S Vats (LUX),2020-2020,1,-,-,-,-,0,-,-,0,0,0,-
1551,S Veerapathiran (BHR),2020-2020,1,1,1,1,0,0,-,-,0,0,0,-
1552,Vikramjit Singh (NL),2019-2019,1,15,15,15,0,-,-,-,-,0,0,-
1553,Vishal Ahir (PNM),2019-2019,1,-,-,-,-,-,-,-,-,1,0,-
1554,C Vorster (GUE),2019-2019,1,5,5,5,0,1,Jan-32,32,0,0,0,-26.99
1555,Waqar Abbasi (ROM),2020-2020,1,-,-,-,-,2,Feb-30,15,0,0,0,-
1556,Waqas Maqsood (PAK),2018-2018,1,-,-,-,-,2,Feb-21,10.5,0,0,0,-
1557,Waqas Raja (Fin),2019-2019,1,2,2*,-,0,0,-,-,0,0,0,-
1558,OJ Webster (IOM),2020-2020,1,5,5,5,0,-,-,-,-,0,0,-
1559,Yasar Idrees (KUW),2019-2019,1,8,8,8,0,-,-,-,-,1,0,-
1560,Zahid Mahmood (PAK),2021-2021,1,-,-,-,-,3,Mar-40,13.33,0,0,0,-
1561,Zakir Hasan (BDESH),2018-2018,1,10,10,10,0,-,-,-,-,0,0,-
1562,S Zargar (Mex),2019-2019,1,-,-,-,-,2,Feb-22,11,0,0,0,-
1563,Zeeshan Abbas (BHR),2019-2019,1,1,1,1,0,0,-,-,0,1,0,-
1564,Zeeshan Khan (MLT),2020-2020,1,-,-,-,-,-,-,-,-,0,0,-
1565,Ziaur Rahman (AFG),2019-2019,1,-,-,-,-,2,Feb-42,21,0,0,0,-
1566,Ziaur Rehman (Fin),2019-2019,1,0,0,0,0,-,-,-,-,0,0,-
