team_name,Player_name,NATIONALITY,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Season,NO in HS,dream_11_points,ball_for_4,ball_for_6,consistency
RCB,PavanDeshpande,IND,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New_season,0.0,-6.0,0.0,0.0,-inf
RCB,MohammedAzharuddeen,IND,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New_season,0.0,-6.0,0.0,0.0,-inf
RCB,KyleJamieson,INT,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New_season,0.0,-6.0,0.0,0.0,-inf
RCB,KWRichardson,INT,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New_season,0.0,-6.0,0.0,0.0,-inf
RCB,K.SBharat,IND,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New_season,0.0,-6.0,0.0,0.0,-inf
RCB,DanielSams,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,0.0,
RCB,DevduttPadikkal,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,0.0,
RCB,FinnAllen,INT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,0.0,
RCB,K.SBharat,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,0.0,
RCB,KyleJamieson,INT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,0.0,
RCB,MohammedAzharuddeen,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,0.0,
RCB,PavanDeshpande,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,0.0,
RCB,RajatPatidar,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,0.0,
RCB,ShahbazAhmed,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,0.0,
RCB,SuyashPrabhudessai,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,0.0,
MI,CALynn,INT,12.0,12.0,2.0,384.0,159.0,109.16,243.0,479.63,0.0,3.0,0.0,31.0,23.0,older_season,1.0,489.0,7.838709677419355,10.565217391304348,40.75
MI,SAYadav,IND,46.0,44.0,,1416.0,,,1039.0,409.20000000000005,0.0,10.0,3.0,167.0,37.0,New_season,1.0,1737.0,6.221556886227545,28.08108108108108,39.47727272727273
MI,CALynn,INT,29.0,29.0,,896.0,,,667.0,269.88,0.0,7.0,3.0,97.0,40.0,New_season,0.0,1121.0,6.876288659793815,16.675,38.6551724137931
MI,QdeKock,INT,40.0,40.0,,1233.0,,,918.0,397.48,0.0,9.0,2.0,111.0,55.0,New_season,0.0,1526.0,8.27027027027027,16.69090909090909,38.15
MI,IshanKishan,IND,35.0,31.0,,892.0,,,638.0,396.21,0.0,6.0,4.0,66.0,51.0,New_season,0.0,1104.0,9.666666666666666,12.509803921568627,35.61290322580645
MI,QdeKock,INT,26.0,26.0,1.0,726.0,229.0,101.59,549.0,452.21,1.0,5.0,1.0,90.0,21.0,older_season,0.0,912.0,6.1,26.142857142857142,35.07692307692308
MI,RGSharma,IND,159.0,154.0,25.0,4207.0,785.0,329.21000000000004,3214.0,1308.7800000000002,1.0,32.0,9.0,354.0,172.0,older_season,6.0,5169.0,9.07909604519774,18.686046511627907,33.564935064935064
MI,RGSharma,IND,41.0,41.0,,1023.0,,,790.0,389.28000000000003,0.0,7.0,4.0,104.0,41.0,New_season,0.0,1259.0,7.596153846153846,19.26829268292683,30.70731707317073
MI,KHPandya,IND,25.0,20.0,7.0,480.0,133.0,74.21000000000001,303.0,326.87,0.0,1.0,0.0,46.0,20.0,older_season,0.0,582.0,6.586956521739131,15.15,29.1
MI,HHPandya,IND,43.0,41.0,,943.0,,,562.0,503.73,0.0,3.0,2.0,62.0,65.0,New_season,0.0,1169.0,9.064516129032258,8.646153846153846,28.51219512195122
MI,IshanKishan,IND,16.0,15.0,0.0,319.0,88.0,36.1,247.0,236.89000000000001,0.0,1.0,1.0,34.0,13.0,older_season,0.0,387.0,7.264705882352941,19.0,25.8
MI,KAPollard,INT,123.0,113.0,32.0,2343.0,472.0,231.48000000000002,1599.0,1164.69,0.0,12.0,2.0,157.0,147.0,older_season,3.0,2906.0,10.184713375796179,10.877551020408163,25.716814159292035
MI,KAPollard,INT,41.0,34.0,,680.0,,,418.0,481.15999999999997,0.0,3.0,2.0,39.0,51.0,New_season,0.0,853.0,10.717948717948717,8.196078431372548,25.08823529411765
MI,SSTiwary,IND,7.0,5.0,,103.0,,,80.0,128.75,0.0,0.0,0.0,8.0,3.0,New_season,0.0,117.0,10.0,26.666666666666668,23.4
MI,SSTiwary,IND,81.0,65.0,20.0,1276.0,351.0,206.69,1067.0,1069.79,0.0,7.0,1.0,93.0,45.0,older_season,4.0,1517.0,11.473118279569892,23.711111111111112,23.338461538461537
MI,SAYadav,IND,55.0,42.0,14.0,608.0,171.0,93.74,465.0,525.6800000000001,0.0,1.0,2.0,54.0,21.0,older_season,1.0,706.0,8.61111111111111,22.142857142857142,16.80952380952381
MI,NMCoulter-Nile,INT,7.0,2.0,,25.0,,,15.0,166.66,0.0,0.0,0.0,4.0,0.0,New_season,0.0,33.0,3.75,0.0,16.5
MI,JDSNeesham,INT,4.0,3.0,0.0,42.0,22.0,14.0,46.0,91.3,0.0,0.0,0.0,3.0,1.0,older_season,0.0,47.0,15.333333333333334,46.0,15.666666666666666
