,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,hundred,fifties,duck,fours,sixes
556,Ishan Kishan (INDIA),2021-2021,2,2,0,60,56,30,41,146.34,0,1,0,5,4
557,J Kila (PNG),2019-2019,12,5,3,60,27*,30,31,193.54,0,0,0,4,5
558,Mohammad Adnan (Saudi),2019-2019,5,3,3,60,38*,-,31,193.54,0,0,0,4,5
559,TD Paine (AUS/World),2017-2017,7,6,1,60,25,12,59,101.69,0,0,1,5,2
560,K Waiswa (UGA),2020-2020,3,3,0,60,39,20,47,127.65,0,0,1,6,2
561,Zameer Khan (DEN),2019-2019,2,2,1,60,33,60,61,98.36,0,0,0,4,0
562,Ariful Haque (BDESH),2018-2018,9,8,4,59,18*,14.75,61,96.72,0,0,1,4,0
563,Hayatullah Niazi (NOR),2019-2019,4,4,1,59,27,19.66,47,125.53,0,0,0,3,3
564,Muhammad Saleem (),2019-2019,4,4,0,59,52,14.75,54,109.25,0,1,0,5,1
565,Sikander Zulfiqar (NL),2018-2019,9,7,0,59,18,8.42,56,105.35,0,0,0,5,0
566,SN Thakur (INDIA),2018-2021,20,4,2,59,22*,29.5,31,190.32,0,0,1,3,4
567,C Zavoiu (ROM),2019-2020,7,5,0,59,27,11.8,79,74.68,0,0,0,4,0
568,Aamer Ikram (PORT),2019-2019,4,4,0,58,23,14.5,73,79.45,0,0,0,4,4
569,A Dananjaya (SL),2017-2021,20,12,4,58,11*,7.25,66,87.87,0,0,2,6,0
570,D Heyliger (CAN),2019-2019,11,7,5,58,23*,29,42,138.09,0,0,1,2,3
571,JJ Huo (Moz),2019-2019,7,7,0,58,18,8.28,61,95.08,0,0,1,7,2
572,Fayyaz Butt (OMAN),2019-2019,14,6,4,57,25*,28.5,48,118.75,0,0,0,4,2
573,C Jonker (SA),2018-2018,2,2,0,57,49,28.5,29,196.55,0,0,0,5,3
574,A Makesh (KUW),2019-2019,4,2,1,57,57,57,41,139.02,0,1,0,3,4
575,GP Meade (ITA),2019-2019,8,5,0,57,18,11.4,63,90.47,0,0,0,4,1
576,A Sarma (GER),2019-2020,4,3,0,57,28,19,67,85.07,0,0,0,3,1
577,AJ Turner (AUS),2017-2019,11,7,3,57,22*,14.25,57,100,0,0,1,1,2
578,AJ Tye (AUS),2017-2020,25,9,4,57,20,11.4,51,111.76,0,0,2,3,3
579,Amjad Sher (Fin),2019-2019,5,5,0,56,24,11.2,36,155.55,0,0,0,1,4
580,M Dixit (LUX),2019-2020,5,3,0,56,38,18.66,62,90.32,0,0,0,6,2
581,P Manning (Caym),2019-2019,6,6,1,56,28,11.2,89,62.92,0,0,1,4,0
582,AA Obanda (KENYA),2019-2019,6,6,0,56,27,9.33,63,88.88,0,0,2,6,1
583,MJ Ross (ITA),2019-2019,8,5,1,56,34,14,42,133.33,0,0,0,2,3
584,Abrar Bilal (Aut),2019-2019,4,3,1,55,37,27.5,43,127.9,0,0,0,7,2
585,D Ajekun (NGA),2019-2019,6,6,0,55,17,9.16,81,67.9,0,0,0,6,1
586,TM Dilshan (SL),2016-2016,5,5,0,55,36,11,58,94.82,0,0,0,6,2
587,GD Elliott (NZ/World),2016-2017,5,5,2,55,27,18.33,42,130.95,0,0,0,6,0
588,OE Newey (GUE),2019-2019,7,6,1,55,23*,11,66,83.33,0,0,1,2,0
589,AK Perera (SL),2019-2019,4,4,0,55,16,13.75,57,96.49,0,0,0,5,1
590,JW Chilia (VAN),2019-2019,14,7,4,54,23,18,54,100,0,0,0,3,3
591,TK Curran (ENG),2017-2021,28,11,7,54,14*,13.5,47,114.89,0,0,0,0,4
592,JSE Dunford (JER),2019-2019,17,9,3,54,29,9,67,80.59,0,0,3,2,0
593,MSS Mandy (Chile),2019-2019,4,4,0,54,32,13.5,67,80.59,0,0,0,8,0
594,SMA Priyanjan (SL),2017-2017,3,3,2,54,40*,54,62,87.09,0,0,0,1,2
595,DR Sams (AUS),2020-2021,4,4,2,54,41,27,23,234.78,0,0,0,4,4
596,Aphsal Ashraf (KUW),2020-2020,5,3,1,53,45*,26.5,32,165.62,0,0,0,1,5
597,S Jamil (Belg),2019-2020,6,6,0,53,24,8.83,65,81.53,0,0,2,6,2
598,Wahab Riaz (PAK),2016-2020,18,7,2,53,24,10.6,29,182.75,0,0,1,2,4
599,TS Bharaj (DEN),2019-2019,9,8,0,52,19,6.5,77,67.53,0,0,1,2,0
600,G Caisley (),2019-2019,4,4,0,52,38,13,59,88.13,0,0,1,3,2
601,SJ Cotter (Samoa),2019-2019,4,4,0,52,25,13,62,83.87,0,0,0,4,1
602,IDA Damarell (GUE),2020-2020,1,1,0,52,52,52,31,167.74,0,1,0,6,3
603,Fitri Sham (MAL),2019-2020,22,13,5,52,15*,6.5,67,77.61,0,0,0,2,1
604,Imrul Kayes (BDESH),2017-2017,6,5,0,52,36,10.4,45,115.55,0,0,2,6,1
605,A Manousis (),2019-2019,3,3,1,52,23,26,49,106.12,0,0,0,5,1
606,DM Nakrani (UGA),2019-2019,4,4,1,52,19,17.33,48,108.33,0,0,0,2,3
607,SO Ngoche (KENYA),2019-2019,9,6,1,52,22,10.4,48,108.33,0,0,0,3,2
608,Ovais Yousof (NGA),2019-2019,3,3,0,52,33,17.33,70,74.28,0,0,0,5,0
609,Shahid Afridi (ICC/PAK),2016-2018,4,4,0,52,19,13,42,123.8,0,0,0,4,3
610,Anasim Khan (BHR),2019-2020,8,6,1,51,22,10.2,52,98.07,0,0,0,2,1
611,Junaid Aziz (BHR),2020-2020,4,3,1,51,24*,25.5,43,118.6,0,0,0,6,1
612,AR McBrine (IRE),2016-2017,8,7,2,51,14*,10.2,53,96.22,0,0,1,4,1
613,B Mavuta (ZIM),2018-2021,4,4,3,51,28,51,31,164.51,0,0,0,3,3
614,V Mbazo (Botsw),2019-2019,4,3,1,51,27*,25.5,67,76.11,0,0,0,3,0
615,Nawroz Mangal (AFG),2017-2017,2,2,1,51,34,51,38,134.21,0,0,0,7,1
616,AR Patel (INDIA),2016-2021,8,5,3,51,20*,25.5,27,188.88,0,0,0,3,3
617,AM Rahane (INDIA),2016-2016,3,3,1,51,40,25.5,46,110.86,0,0,0,3,0
618,Z Arinaitwe (UGA),2019-2020,6,6,0,50,15,8.33,60,83.33,0,0,0,8,1
619,Hilal Ahmad (CZK-R),2019-2020,10,10,2,50,18*,6.25,67,74.62,0,0,2,2,0
620,Md Nurul Huda (Fin),2019-2019,5,4,2,50,30*,25,32,156.25,0,0,0,4,2
621,Ameel Mauroof (Mald),2019-2020,13,10,5,49,15*,9.8,68,72.05,0,0,1,3,0
622,SM Curran (ENG),2019-2021,11,6,2,49,24,12.25,36,136.11,0,0,0,4,3
623,JN Frylinck (NAM),2019-2019,14,7,4,49,19*,16.33,47,104.25,0,0,1,2,1
624,Nanda Kumar (CRC),2019-2019,3,3,0,49,39,16.33,58,84.48,0,0,1,3,2
625,DC Smith (PHI),2019-2019,4,4,1,49,22,16.33,53,92.45,0,0,0,5,0
626,D Klein (GER),2020-2020,2,2,2,48,31*,-,22,218.18,0,0,0,4,2
627,Mehran Khan (OMAN),2017-2019,8,5,0,48,29,9.6,42,114.28,0,0,1,3,2
628,Muhammad Nadeem (Saudi),2019-2019,5,3,0,48,43,16,49,97.95,0,0,0,7,1
629,MIA Patel (MWI),2019-2019,3,2,1,48,40*,48,44,109.09,0,0,0,6,1
630,Qalandar Khan (QAT),2019-2019,4,3,0,48,25,16,43,111.62,0,0,0,2,3
631,Ravinder Singh (MLT),2019-2020,5,3,0,48,34,16,31,154.83,0,0,0,3,3
632,YSD Seneveratne (Caym),2019-2019,6,6,0,48,19,8,79,60.75,0,0,1,5,1
633,J Singye (BHU),2019-2019,2,2,0,48,40,24,64,75,0,0,0,2,0
634,M Aboagye (Ghana),2019-2019,3,3,1,47,24,23.5,53,88.67,0,0,0,3,0
635,VD Adewoye (NGA),2019-2019,7,6,2,47,23*,11.75,42,111.9,0,0,2,4,2
636,Delawar Khan (DEN),2019-2019,9,8,1,47,17,6.71,40,117.5,0,0,2,0,4
637,Shiraz Khan (KUW),2019-2020,11,8,2,47,16*,7.83,48,97.91,0,0,1,3,2
638,D Weston (GER),2019-2019,6,6,0,47,18,7.83,54,87.03,0,0,2,5,1
639,SA Ahmad (DEN),2019-2019,5,3,1,46,25,23,54,85.18,0,0,0,2,0
640,K Gupta (Chile),2019-2019,4,4,1,46,19*,15.33,64,71.87,0,0,1,1,0
641,KM Jarvis (ZIM),2018-2019,13,7,3,46,27,11.5,47,97.87,0,0,1,1,4
642,S Ateak (Ghana),2019-2019,3,3,0,45,26,15,48,93.75,0,0,0,6,1
643,R Bakum (Ghana),2019-2019,4,4,0,45,18,11.25,45,100,0,0,1,4,2
644,MG Hunter (GIBR),2019-2019,4,3,0,45,27,15,61,73.77,0,0,0,2,1
645,B Ivanov (BUL),2019-2020,8,4,2,45,21*,22.5,71,63.38,0,0,0,3,1
646,T Munyonga (ZIM),2019-2019,5,3,2,45,44,45,34,132.35,0,0,0,3,1
647,Murid Ekrami (Belg),2019-2020,7,4,1,45,28,15,51,88.23,0,0,0,2,0
648,Nazril Rahman (MAL),2019-2020,11,6,2,45,24*,11.25,49,91.83,0,0,1,4,0
649,VE Tembo (Moz),2019-2019,6,5,2,45,20*,15,52,86.53,0,0,0,2,0
650,JNT Vare (PNG),2017-2017,3,3,0,45,38,15,48,93.75,0,0,0,2,0
651,Yasar Haroon (),2019-2019,4,4,0,45,29,11.25,62,72.58,0,0,0,4,1
652,Zohaib Sarwar (PORT),2019-2019,4,4,1,45,33*,15,46,97.82,0,0,2,1,4
653,Abu Hider (BDESH),2018-2018,8,4,4,44,22*,-,33,133.33,0,0,0,4,3
654,AJ Ayannaike (NGA),2019-2019,3,3,0,44,33,14.66,43,102.32,0,0,1,4,2
655,AA Banner (Blz),2019-2019,3,2,0,44,28,22,29,151.72,0,0,0,4,3
656,DAJ Bracewell (NZ),2017-2019,4,2,0,44,44,22,27,162.96,0,0,1,1,5
657,L Emilio (Moz),2019-2019,5,4,0,44,23,11,35,125.71,0,0,0,4,1
658,GF Gomes (Moz),2019-2019,7,6,1,44,28,8.8,46,95.65,0,0,1,6,1
659,Ismat Ullah (),2019-2019,4,4,0,44,42,11,47,93.61,0,0,1,4,1
660,Abdul Wahid (Saudi),2019-2020,8,5,1,43,17*,10.75,45,95.55,0,0,0,5,1
661,P Baron (Arg),2019-2019,5,3,0,43,27,14.33,38,113.15,0,0,0,0,4
662,A McAuley (IOM),2020-2020,1,1,0,43,43,43,53,81.13,0,0,0,3,0
663,SE Rutherford (WI),2018-2020,6,4,0,43,26,10.75,36,119.44,0,0,0,1,3
664,Saad Bin Zafar (CAN),2019-2019,11,4,1,43,20,14.33,33,130.3,0,0,0,3,2
665,M Sohel Patel (PNM),2019-2019,2,2,0,43,40,21.5,39,110.25,0,0,0,2,3
666,Washington Sundar (INDIA),2017-2021,29,10,4,43,14*,7.16,30,143.33,0,0,3,3,3
667,F Baaleri (Ghana),2019-2019,4,4,0,42,17,10.5,60,70,0,0,0,6,0
668,Ibrahim Hassan (Mald),2019-2020,14,10,3,42,18*,6,68,61.76,0,0,3,0,0
669,Mohamed Mahfooz (Mald),2019-2019,11,5,0,42,16,8.4,53,79.24,0,0,0,3,0
670,Muaviath Ganee (Mald),2019-2019,5,4,0,42,19,10.5,44,95.45,0,0,0,3,1
671,M Sert (TKY),2019-2019,4,4,1,42,16,14,59,71.18,0,0,0,5,0
672,SSM Stanislaus (MLT),2020-2020,3,2,1,42,26,42,33,127.27,0,0,0,1,2
673,DC Stovell (BMUDA),2019-2019,6,6,1,42,18*,8.4,50,84,0,0,1,5,0
674,JK Vifah (Ghana),2019-2019,3,3,0,42,23,14,45,93.33,0,0,0,2,1
675,KJ Young (Blz),2019-2019,3,3,2,42,27*,42,34,123.52,0,0,0,3,1
676,Abdullah Shafique (PAK),2020-2020,3,3,1,41,41*,20.5,37,110.81,0,0,2,4,1
677,Ainool Hafizs (MAL),2019-2019,3,3,0,41,21,13.66,39,105.12,0,0,0,3,1
678,Ali Mohammadipour (Iran),2020-2020,3,3,1,41,19,20.5,44,93.18,0,0,0,6,0
679,S Browne (LUX),2020-2020,4,4,0,41,21,10.25,49,83.67,0,0,1,4,0
680,KA Jamieson (NZ),2020-2021,8,4,2,41,30,20.5,27,151.85,0,0,0,7,0
681,K Joshi (Aut),2019-2019,5,3,1,41,32*,20.5,41,100,0,0,0,4,2
682,GF Linde (SA),2020-2020,3,2,0,41,29,20.5,26,157.69,0,0,0,3,2
683,Mustafizur Rahman (BDESH),2016-2020,31,12,4,41,15,5.12,47,87.23,0,0,3,3,3
684,LE Plunkett (ENG),2016-2019,19,10,4,41,18,6.83,32,128.12,0,0,3,3,1
685,D Sheeli (KUW),2019-2020,5,5,0,41,19,8.2,43,95.34,0,0,0,5,0
686,Imran Bulbulia (PNM),2019-2019,3,3,0,40,32,13.33,42,95.23,0,0,1,4,1
687,LA Musiani (Arg),2019-2019,5,5,1,40,22,10,60,66.66,0,0,1,4,0
688,E Packard (GIBR),2019-2019,4,4,0,40,26,10,49,81.63,0,0,0,2,1
689,S Rakshit (CZK-R),2019-2019,6,5,1,40,21,10,44,90.9,0,0,1,5,1
690,S Ravikumar (CRC),2019-2019,3,3,1,40,29*,20,44,90.9,0,0,1,3,1
691,Sahibzada Farhan (PAK),2018-2018,3,3,0,40,39,13.33,46,86.95,0,0,1,2,3
692,F Stoman (PORT),2019-2019,4,4,1,40,21*,13.33,61,65.57,0,0,0,1,1
693,Talha Khan (GER),2019-2019,1,1,1,40,40*,-,41,97.56,0,0,0,4,0
694,Tariq Aziz (PORT),2019-2019,4,4,1,40,23,13.33,47,85.1,0,0,1,1,2
695,Imran Khan (PORT),2019-2019,4,3,1,39,36,19.5,32,121.87,0,0,0,2,3
696,H Ivanov (BUL),2019-2020,8,4,0,39,15,9.75,39,100,0,0,0,2,1
697,Khalid Ahmadi (Belg),2020-2020,4,3,2,39,25*,39,14,278.57,0,0,0,4,3
698,HG Kuhn (SA),2017-2017,2,2,0,39,29,19.5,26,150,0,0,0,3,2
699,TWM Latham (NZ),2017-2017,1,1,0,39,39,39,36,108.33,0,0,0,3,1
700,AT Rayudu (INDIA),2016-2016,3,2,0,39,20,19.5,42,92.85,0,0,0,5,0
701,P Silas (Botsw),2019-2019,4,3,0,39,20,13,44,88.63,0,0,0,1,1
702,S Tobgay (BHU),2019-2019,2,2,0,39,24,19.5,58,67.24,0,0,0,1,0
703,Ameer Saiyed (Botsw),2019-2019,4,3,0,38,22,12.66,47,80.85,0,0,0,4,0
704,JH Davey (SCOT),2017-2019,10,5,4,38,14*,38,29,131.03,0,0,0,3,1
705,Imran Haider (ROM),2019-2020,3,3,0,38,19,12.66,40,95,0,0,0,4,1
706,D Kansonkho (MWI),2019-2019,7,4,0,38,21,9.5,47,80.85,0,0,2,5,0
707,AK Kitchen (NZ),2017-2018,5,4,1,38,16,12.66,32,118.75,0,0,0,3,1
708,LC Le Tissier (GUE),2019-2020,10,8,2,38,9,6.33,39,97.43,0,0,0,3,0
709,BF Mailata (Samoa),2019-2019,4,4,0,38,17,9.5,48,79.16,0,0,0,2,1
710,Mohammed Sameer (BHR),2020-2020,2,2,0,38,28,19,29,131.03,0,0,0,6,1
711,H Pragji (Botsw),2019-2019,4,4,1,38,30*,12.66,65,58.46,0,0,0,1,0
712,U Aryaman Sunil (SGP),2019-2020,5,4,0,37,16,9.25,24,154.16,0,0,0,2,2
713,Basil Hameed (UAE),2020-2020,4,3,0,37,23,12.33,33,112.12,0,0,0,2,1
714,VD Chandra (PNM),2019-2019,3,2,0,37,26,18.5,30,123.33,0,0,0,3,3
715,I Danladi (NGA),2019-2019,3,2,0,37,37,18.5,38,97.36,0,0,1,4,1
716,CJ Delany (GIBR),2019-2019,4,4,0,37,21,9.25,60,61.66,0,0,1,2,0
717,J Hirschi (MLT),2019-2019,4,4,0,37,13,9.25,62,59.67,0,0,0,0,0
718,AF Ifill (Caym),2019-2019,6,6,1,37,9,7.4,61,60.65,0,0,0,2,1
719,R Kumar (ROM),2019-2019,4,3,1,37,32,18.5,27,137.03,0,0,0,6,0
720,S Kushretha (LUX),2020-2020,4,3,0,37,28,12.33,39,94.87,0,0,0,2,0
721,D Manani (ROM),2019-2019,2,2,1,37,19*,37,32,115.62,0,0,0,4,1
722,T Maruma (ZIM),2016-2019,4,4,1,37,23*,12.33,39,94.87,0,0,0,1,3
723,S Sola (Samoa),2019-2019,4,3,0,37,18,12.33,36,102.77,0,0,0,1,3
724,BM Wheeler (NZ),2017-2018,6,4,2,37,30,18.5,28,132.14,0,0,0,3,2
725,Ahsan Ali (PAK),2020-2020,2,2,0,36,36,18,39,92.3,0,0,1,4,0
726,J Dunn (VAN),2019-2019,4,3,0,36,23,12,41,87.8,0,0,0,0,1
727,V Ganesan (GER),2019-2020,6,5,0,36,15,7.2,47,76.59,0,0,0,0,0
728,J Jojo (DEN),2019-2019,7,5,3,36,13,18,27,133.33,0,0,0,1,1
729,Mohammed Qasim (UAE),2016-2017,3,3,1,36,13*,18,51,70.58,0,0,0,2,0
730,Mohsin Hub (Peru),2019-2019,4,4,1,36,16*,12,41,87.8,0,0,1,2,0
731,JA Richardson (AUS),2017-2021,14,7,4,36,11,12,31,116.12,0,0,1,3,1
732,RJ Trott (BMUDA),2019-2019,12,7,3,36,19,9,60,60,0,0,1,3,0
733,PA van Meekeren (NL),2017-2019,26,7,1,36,18,6,32,112.5,0,0,2,0,3
734,MP Biddappa (PHI),2019-2019,4,2,1,35,22*,35,47,74.46,0,0,0,1,1
735,JP Faulkner (AUS),2016-2017,9,7,2,35,14*,7,30,116.66,0,0,0,4,0
736,L Gregory (ENG),2019-2020,8,6,1,35,15,7,30,116.66,0,0,1,2,2
737,L Hermida (Mex),2019-2019,5,5,2,35,12,11.66,50,70,0,0,0,1,0
738,Imran Anwar (BHR),2019-2020,8,5,2,35,16*,11.66,44,79.54,0,0,0,2,0
739,Nazakat Ali (NOR),2019-2019,2,2,0,35,25,17.5,31,112.9,0,0,0,1,3
740,WB Rankin (IRE),2017-2020,28,10,4,35,10,5.83,46,76.08,0,0,2,1,2
741,Robert Raina (THAI),2020-2020,4,4,0,35,20,8.75,68,51.47,0,0,0,3,1
742,DK Anefie (Ghana),2019-2019,4,4,2,34,18*,17,38,89.47,0,0,1,2,0
743,CD de Lange (SCOT),2017-2017,4,2,0,34,22,17,20,170,0,0,0,2,2
744,OC McCoy (WI),2019-2021,5,3,1,34,23,17,17,200,0,0,0,3,3
745,N Madziva (ZIM),2016-2019,9,5,2,34,15,11.33,37,91.89,0,0,0,0,2
746,Mohammad Nawaz (3) (PAK),2016-2021,17,5,2,34,18*,11.33,36,94.44,0,0,1,3,1
747,Saqib Zulfiqar (NL),2018-2019,6,4,0,34,18,8.5,43,79.06,0,0,0,1,0
748,A Sharafu (UAE),2020-2020,5,4,1,34,12,11.33,33,103.03,0,0,0,0,3
749,JTS Sumerauer (JER),2019-2019,8,6,1,34,13,6.8,39,87.17,0,0,0,3,0
750,W Viraliliu (VAN),2019-2019,10,7,3,34,13*,8.5,26,130.76,0,0,0,3,2
751,PSP Handscomb (AUS),2019-2019,2,2,1,33,20*,33,33,100,0,0,0,1,0
752,Karim Sadiq (AFG),2018-2018,2,2,0,33,28,16.5,37,89.18,0,0,0,3,1
753,FJ Klaassen (NL),2018-2019,21,7,1,33,13,5.5,34,97.05,0,0,1,2,0
754,K Nestor (GIBR),2019-2019,4,4,1,33,16,11,35,94.28,0,0,0,1,2
755,I Pandey (NEPAL),2019-2019,4,4,0,33,22,8.25,50,66,0,0,0,5,0
756,Simandeep Singh (HKG),2019-2019,7,7,2,33,14*,6.6,32,103.12,0,0,0,2,0
757,Washeem Abbas (MLT),2019-2020,5,3,2,33,20*,33,12,275,0,0,0,0,4
758,AA Westphal (Mex),2019-2019,5,5,0,33,24,6.6,40,82.5,0,0,0,3,0
759,KS Bagabena (Ghana),2019-2019,4,3,2,32,23*,32,32,100,0,0,1,1,0
760,LHB Harrington-Myers (Caym),2019-2019,4,4,1,32,17*,10.66,39,82.05,0,0,1,1,1
761,Khizer Ahmed (NOR),2019-2019,5,4,2,32,18,16,47,68.08,0,0,0,1,0
762,K Rabada (SA),2016-2020,13,5,1,32,22,8,33,96.96,0,0,2,3,2
763,AU Rashid (ENG),2016-2021,42,12,7,32,8*,6.4,36,88.88,0,0,0,3,0
764,KRP Silva (USA),2019-2019,2,2,0,32,25,16,12,266.66,0,0,0,2,3
765,Amir Hamza (AFG),2016-2021,16,5,3,31,21,15.5,29,106.89,0,0,0,2,1
766,P Chandran (Mex),2019-2019,3,3,0,31,23,10.33,47,65.95,0,0,1,2,1
767,Jasdeep Singh (USA),2019-2019,4,2,0,31,31,15.5,25,124,0,0,1,0,3
768,AS Mehmi (),2019-2019,3,2,1,31,21*,31,29,106.89,0,0,0,2,1
769,VS Padhaal (Fin),2019-2019,5,5,0,31,14,6.2,44,70.45,0,0,0,4,0
770,ACF Stokes (GUE),2019-2020,8,5,0,31,16,6.2,26,119.23,0,0,3,6,0
771,Tafseer Ali (NOR),2019-2019,5,4,1,31,19,10.33,53,58.49,0,0,0,1,0
772,A Zampa (AUS),2016-2021,39,6,4,31,13*,15.5,29,106.89,0,0,0,4,0
773,Zubaidi Zulkifle (MAL),2019-2019,4,4,0,31,22,7.75,29,106.89,0,0,1,2,2
774,D Cato (Caym),2019-2019,3,3,0,30,20,10,59,50.84,0,0,0,2,0
775,Imran Butt (BHR),2020-2020,4,3,0,30,17,10,25,120,0,0,0,3,1
776,Navid Balouch (Iran),2020-2020,3,3,1,30,19*,15,50,60,0,0,0,1,0
777,Abdullah Akbarjan (Aut),2019-2019,5,1,0,29,29,29,17,170.58,0,0,0,3,1
778,KMDN Kulasekara (SL),2016-2017,9,5,3,29,12,14.5,29,100,0,0,0,3,0
779,B Masaba (UGA),2019-2020,2,1,0,29,29,29,25,116,0,0,0,3,1
780,BJ McCarthy (IRE),2017-2020,10,6,2,29,18*,7.25,23,126.08,0,0,4,0,2
781,Mian Mehmood (PORT),2019-2019,4,4,0,29,13,7.25,41,70.73,0,0,1,1,1
782,Mohammad Shahzad (UAE),2016-2017,5,5,0,29,13,5.8,26,111.53,0,0,0,4,1
783,SH Obed (VAN),2019-2019,12,7,2,29,9,5.8,41,70.73,0,0,0,1,0
784,C Pengkumta (THAI),2019-2020,5,4,2,29,18,14.5,41,70.73,0,0,0,2,0
785,L Ronchi (ICC/NZ),2016-2018,8,7,1,29,11,4.83,26,111.53,0,0,3,1,1
786,S Rossi (Arg),2019-2019,5,4,1,29,13,9.66,27,107.4,0,0,0,2,1
787,J Salazar (Peru),2019-2019,2,2,1,29,20*,29,36,80.55,0,0,0,0,0
788,Shuvagata Hom (BDESH),2016-2016,3,3,2,29,16*,29,28,103.57,0,0,0,3,1
789,VP Thamotharam (MLT),2020-2020,2,2,1,29,24*,29,18,161.11,0,0,0,4,1
790,KK Ahuja (Mex),2019-2019,8,7,0,28,8,4,50,56,0,0,1,1,1
791,PS Airee (NEPAL),2019-2019,4,4,0,28,12,7,40,70,0,0,1,2,1
792,Iqbal Hussain (QAT),2019-2020,22,8,3,28,19,5.6,34,82.35,0,0,3,3,0
793,EJB Miles (JER),2019-2019,14,4,2,28,16,14,31,90.32,0,0,0,1,0
794,CW Perchard (JER),2019-2019,15,5,2,28,12,9.33,35,80,0,0,0,0,0
795,R Pillai (GER),2019-2019,6,5,1,28,14,7,44,63.63,0,0,1,1,0
796,Sharafuddin Ashraf (AFG),2018-2019,4,4,1,28,18,9.33,29,96.55,0,0,0,1,1
797,V Sibanda (ZIM),2016-2016,1,1,0,28,28,28,23,121.73,0,0,0,5,0
798,Vinod Kumar (ESP),2019-2020,4,4,1,28,17,9.33,34,82.35,0,0,0,3,0
799,MRJ Watt (SCOT),2017-2019,21,6,3,28,14*,9.33,23,121.73,0,0,0,4,0
800,D Wiese (SA),2016-2016,3,2,1,28,28,28,26,107.69,0,0,0,2,0
801,Abdul Shakoor (ROM),2019-2020,4,3,1,27,20,13.5,35,77.14,0,0,1,1,0
802,Ahmed Wardak (GER),2019-2020,10,4,2,27,20*,13.5,38,71.05,0,0,0,1,0
803,TP Allen (USA),2019-2019,5,3,1,27,11*,13.5,17,158.82,0,0,0,0,3
804,G Bakiweyem (Ghana),2019-2019,3,2,1,27,15*,27,30,90,0,0,0,0,0
805,TC Barker (LUX),2019-2019,4,4,0,27,18,6.75,33,81.81,0,0,0,1,0
806,RM Dorji (BHU),2019-2019,1,1,0,27,27,27,23,117.39,0,0,0,0,4
807,H Fennell (Arg),2019-2019,5,5,2,27,25*,9,23,117.39,0,0,3,4,1
808,BC Fortuin (SA),2019-2021,6,4,2,27,17*,13.5,22,122.72,0,0,1,4,0
809,S Hongsi (THAI),2019-2019,3,3,3,27,11*,-,16,168.75,0,0,0,3,1
810,Muhammad Younis (BHR),2020-2020,3,3,0,27,25,9,21,128.57,0,0,1,5,0
811,SS Pathirana (SL),2016-2017,5,5,0,27,14,5.4,24,112.5,0,0,0,3,0
812,Shoaib Qureshi (Fin),2019-2019,5,4,0,27,12,6.75,34,79.41,0,0,1,2,0
813,Waqas Ali (Belg),2019-2019,2,2,0,27,14,13.5,31,87.09,0,0,0,0,2
814,A Ahmadhel (BUL),2019-2020,6,4,1,26,15,8.66,31,83.87,0,0,0,2,0
815,SE Aquilina (MLT),2019-2020,7,5,0,26,14,5.2,37,70.27,0,0,0,2,0
816,Arsalan Arif (Aut),2019-2019,1,1,1,26,26*,-,11,236.36,0,0,0,5,0
817,TS Chisoro (ZIM),2018-2020,7,5,2,26,14*,8.66,30,86.66,0,0,0,1,2
818,TB de Bruyn (SA),2017-2017,2,2,0,26,19,13,16,162.5,0,0,0,3,1
819,R Goodwin (PHI),2019-2019,4,4,1,26,16*,8.66,36,72.22,0,0,1,1,0
820,Izatullah Dawlatzai (GER),2019-2020,12,3,2,26,24*,26,13,200,0,0,0,2,2
821,G Kansonkho (MWI),2019-2019,6,3,1,26,22,13,21,123.8,0,0,1,4,0
822,CT Mumba (ZIM),2020-2020,2,2,1,26,25,26,17,152.94,0,0,0,3,1
823,GBW Munaweera (QAT),2019-2020,12,4,2,26,8,13,27,96.29,0,0,0,2,0
824,S Nadigotla (ROM),2019-2020,3,3,0,26,21,8.66,29,89.65,0,0,0,1,0
825,LN Oluoch (KENYA),2019-2019,9,6,3,26,7*,8.66,33,78.78,0,0,0,2,0
826,TK Saha (Fin),2019-2019,4,4,3,26,18*,26,23,113.04,0,0,0,1,0
827,CA Soper (PNG),2017-2019,10,4,2,26,19,13,20,130,0,0,0,0,3
828,C Wright (Caym),2019-2019,6,5,2,26,16*,8.66,31,83.87,0,0,1,2,0
829,P Agnihotri (NOR),2019-2019,2,2,0,25,19,12.5,36,69.44,0,0,0,2,0
830,Asrar Ahmed (),2019-2019,3,1,0,25,25,25,27,92.59,0,0,0,2,0
831,T Jamtsho (BHU),2019-2019,2,2,1,25,19,25,27,92.59,0,0,0,1,1
832,JH Kiani (PHI),2019-2019,4,3,1,25,13,12.5,36,69.44,0,0,0,2,0
833,KR Mayers (WI),2020-2020,2,2,1,25,20,25,18,138.88,0,0,0,1,2
834,G Murali (CRC),2019-2019,3,3,0,25,14,8.33,44,56.81,0,0,0,1,0
835,SA Okpe (NGA),2019-2019,8,6,1,25,12,5,46,54.34,0,0,0,1,0
836,A Srivastav (Chile),2019-2019,4,4,0,25,21,6.25,37,67.56,0,0,2,2,0
837,Tahir Dar (BHR),2019-2019,4,2,0,25,15,12.5,25,100,0,0,0,1,2
838,Adil Hanif (BHR),2019-2019,4,2,0,24,16,12,23,104.34,0,0,0,3,0
