Player_name,NATIONALITY,team_name,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,hundred,fifties,duck,fours,sixes,dream_11_points,consistency
AFMilne,INT,MI,2016-2018,6.0,2.0,2,2.0,2*,0,2,100.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
NMCoulter-Nile,INT,MI,2016-2019,15.0,9.0,2,100.0,34,14.28,79,126.58,0.0,0.0,1.0,9.0,5.0,117.0,13.0
PPChawla,IND,MI,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JDSNeesham,INT,MI,2017-2021,16.0,12.0,4,222.0,48*,27.75,130,170.76,0.0,0.0,1.0,16.0,16.0,274.0,22.833333333333332
YudhvirCharak,IND,MI,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MarcoJansen,INT,MI,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ArjunTendulkar,IND,MI,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLRahul,IND,KXIP,2016-2021,48.0,44.0,6,1543.0,110*,40.6,1078,143.13,2.0,12.0,4.0,136.0,63.0,1927.0,43.79545454545455
ArshdeepSingh,IND,KXIP,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHGayle,INT,KXIP,2016-2021,15.0,13.0,0,150.0,40,11.53,142,105.63,0.0,0.0,2.0,14.0,8.0,176.0,13.538461538461538
CJJordan,INT,KXIP,2016-2021,46.0,24.0,13,151.0,36,13.72,115,131.3,0.0,0.0,2.0,10.0,7.0,173.0,7.208333333333333
DarshanNalkande,IND,KXIP,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DJHooda,IND,KXIP,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HarpreetBrar,IND,KXIP,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IshanPorel,IND,KXIP,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MandeepSingh,IND,KXIP,2016-2016,3.0,3.0,1,87.0,52*,43.5,73,119.17,0.0,1.0,0.0,11.0,1.0,108.0,36.0
MAAgarwal,IND,KXIP,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MohammedShami,IND,KXIP,2016-2020,8.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0
MAshwin,IND,KXIP,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NPooran,INT,KXIP,2016-2021,27.0,24.0,4,392.0,58,19.6,323,121.36,0.0,2.0,2.0,29.0,21.0,475.0,19.791666666666668
PrabhsimranSingh,IND,KXIP,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBishnoi,IND,KXIP,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SarfarazKhan,IND,KXIP,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DawidMalan,INT,KXIP,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JhyeRichardson,INT,KXIP,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ShahrukhKhan,IND,KXIP,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RileyMeredith,INT,KXIP,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCHenriques,INT,KXIP,2016-2020,10.0,9.0,4,207.0,62*,41.4,148,139.86,0.0,2.0,0.0,9.0,9.0,252.0,28.0
JalajSaxena,IND,KXIP,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UtkarshSingh,IND,KXIP,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FabianAllen,INT,KXIP,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SaurabhKumar,IND,KXIP,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EJGMorgan,INT,KKR,2016-2021,43.0,39.0,7,946.0,91,29.56,644,146.89,0.0,7.0,2.0,66.0,54.0,1174.0,30.102564102564102
ADRussell,INT,KKR,2016-2020,13.0,13.0,5,305.0,47,38.12,165,184.84,0.0,0.0,0.0,14.0,32.0,389.0,29.923076923076923
KDKarthik,IND,KKR,2017-2019,23.0,18.0,12,299.0,48,49.83,190,157.36,0.0,0.0,1.0,28.0,14.0,357.0,19.833333333333332
KLNagarkoti,IND,KKR,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KuldeepYadav,IND,KKR,2017-2020,21.0,2.0,1,20.0,16,20,20,100.0,0.0,0.0,0.0,2.0,0.0,22.0,11.0
LHFerguson,INT,KKR,2017-2020,11.0,1.0,0,1.0,1,1,3,33.33,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0
NRana,IND,KKR,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJCummins,INT,KKR,2017-2020,15.0,5.0,4,23.0,13*,23,11,209.09,0.0,0.0,0.0,2.0,1.0,33.0,6.6
